date,volume,session_status,secondary_status,secondary_open_return_difference,open_research_eligible
2021-12-27,21973200.000000000000,traded,common,0.000000053403,True
2021-12-28,18053700.000000000000,traded,common,0.000000003668,True
2021-12-29,25339200.000000000000,traded,common,0.000000060819,True
2021-12-30,14225500.000000000000,traded,common,0.000000033136,True
2021-12-31,27706523.000000000000,traded,common,0.000000024296,True
2022-01-04,66908400.000000000000,traded,common,0.000000066766,True
2022-01-05,26180700.000000000000,traded,common,0.000000048328,True
2022-01-06,30484831.000000000000,traded,common,0.000000016312,True
2022-01-07,39183800.000000000000,traded,common,0.000000069162,True
2022-01-10,46113000.000000000000,traded,common,0.000000000000,True
2022-01-11,45392000.000000000000,traded,common,0.000000087697,True
2022-01-12,22576000.000000000000,traded,common,0.000000000000,True
2022-01-13,20451300.000000000000,traded,common,0.000000039178,True
2022-01-14,30874000.000000000000,traded,common,0.000000039419,True
2022-01-17,26386300.000000000000,traded,common,0.000000000844,True
2022-01-18,24340200.000000000000,traded,common,0.000000060558,True
2022-01-19,24052500.000000000000,traded,common,0.000000001949,True
2022-01-20,23534400.000000000000,traded,common,0.000000023203,True
2022-01-21,37079900.000000000000,traded,common,0.000000035919,True
2022-01-24,22889300.000000000000,traded,common,0.000000007595,True
2022-01-25,46139869.000000000000,traded,common,0.000000068415,True
2022-01-26,25988645.000000000000,traded,common,0.000000032488,True
2022-01-27,30018300.000000000000,traded,common,0.000000024654,True
2022-01-28,27006200.000000000000,traded,common,0.000000024378,True
2022-02-07,25639700.000000000000,traded,common,0.000000016901,True
2022-02-08,35182100.000000000000,traded,common,0.000000018697,True
2022-02-09,34830300.000000000000,traded,common,0.000000035647,True
2022-02-10,26183700.000000000000,traded,common,0.000000003610,True
2022-02-11,45767861.000000000000,traded,common,0.000000045417,True
2022-02-14,31525835.000000000000,traded,common,0.000000019770,True
2022-02-15,29630879.000000000000,traded,common,0.000000037881,True
2022-02-16,25207000.000000000000,traded,common,0.000000036510,True
2022-02-17,20804800.000000000000,traded,common,0.000000027589,True
2022-02-18,31724888.000000000000,traded,common,0.000000063326,True
2022-02-21,26368445.000000000000,traded,common,0.000000059683,True
2022-02-22,25593400.000000000000,traded,common,0.000000051840,True
2022-02-23,21131600.000000000000,traded,common,0.000000007479,True
2022-02-24,32740500.000000000000,traded,common,0.000000071728,True
2022-02-25,33154913.000000000000,traded,common,0.000000050082,True
2022-02-28,28162168.000000000000,traded,common,0.000000028913,True
2022-03-01,26271500.000000000000,traded,common,0.000000012860,True
2022-03-02,26312800.000000000000,traded,common,0.000000044011,True
2022-03-03,26309600.000000000000,traded,common,0.000000085573,True
2022-03-04,29639100.000000000000,traded,common,0.000000059739,True
2022-03-07,30337356.000000000000,traded,common,0.000000055609,True
2022-03-08,32176300.000000000000,traded,common,0.000000020675,True
2022-03-09,71821294.000000000000,traded,common,0.000000030148,True
2022-03-10,28602300.000000000000,traded,common,0.000000061866,True
2022-03-11,40825616.000000000000,traded,common,0.000000075237,True
2022-03-14,32277300.000000000000,traded,common,0.000000034013,True
2022-03-15,85847900.000000000000,traded,common,0.000000036070,True
2022-03-16,74592410.000000000000,traded,common,0.000000048697,True
2022-03-17,37812353.000000000000,traded,common,0.000000029878,True
